Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,C15008
"C2, C3, C4",0603,3,22uF,C59461
C5,0603,1,150pF,C1594
"C6, C7",0805,2,2.2uF,C377773
"C8, C9",0402,2,0.1uF,C1525
D1,D_SMA,1,D_Schottky,C22452
F1,1812,1,Polyfuse_Small,C28326708
"H1, H2, H3, H4",BF@MountingHole_3.2mm_M3,4,MountingHole,
"H5, H6, H7, H8",BF@MountingHole_2.2mm_M2,4,MountingHole,
J1,BF@M5Stack_MBUS,1,M-BUS,
L1,L_Sunlord_SWPA3015S,1,10uH,C45403
R1,0603,1,52.3k,C23198
"R2, R4",0603,2,100k,C25803
R3,0805,1,10k,C17414
"R5, R6",0805,2,10k,C17902
U1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,1,MP1584EN-LF-Z,C15051
U2,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
