Designator,Mid X,Mid Y,Rotation,Layer
C1,40.3,33.2,0.0,top
C2,32.8,28.2,0.0,top
C3,32.787,26.295,0.0,top
C4,32.787,24.39,0.0,top
C5,37.3,23.5,90.0,top
C6,47.86,32.94,270.0,top
C7,45.32,32.94,270.0,top
C8,18.0325,19.16,270.0,top
C9,16.7625,19.16,270.0,top
D1,33.89,34.652,180.0,top
F1,46.59,39.224,90.0,top
H1,3.0,47.0,0.0,top
H2,47.0,47.0,0.0,top
H3,47.0,3.0,0.0,top
H4,3.0,3.0,0.0,top
H5,7.0,47.0,0.0,top
H6,43.0,47.0,0.0,top
H7,43.0,3.0,0.0,top
H8,7.0,3.0,0.0,top
J1,6.0,25.0,0.0,top
L1,32.921,30.845,0.0,top
R1,39.241,23.5,90.0,top
R2,44.685,27.286,270.0,top
R3,41.4,23.5,270.0,top
R4,35.4,23.5,90.0,top
R5,19.92,23.73,270.0,top
R6,17.38,23.73,270.0,top
U1,38.97,28.81,180.0,top
U2,20.3275,20.245,180.0,top
